2025-11-25 23:40:57 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:40:57 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:40:57 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:40:57 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:40:57 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:40:57 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-25 23:40:57 [main] INFO  MVC.Main.TradeController$ - Total trades executed = 5
2025-11-25 23:43:04 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:04 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:04 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:04 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:04 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:04 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:04 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:04 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:04 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:04 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:04 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-25 23:43:04 [main] INFO  MVC.Main.TradeController$ - Total trades executed = 5
2025-11-25 23:43:12 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:44 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:44 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:44 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:44 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:44 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:44 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:44 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:44 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:44 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:44 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 23:43:44 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-25 23:43:44 [main] INFO  MVC.Main.TradeController$ - Total trades executed = 5
2025-11-26 09:52:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 09:52:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 09:52:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 09:52:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 09:52:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 09:52:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 09:52:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 09:52:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 09:52:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 09:52:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 09:52:41 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-26 09:52:41 [main] INFO  MVC.Main.TradeController$ - Total trades executed = 5
2025-11-26 10:29:08 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 10:29:08 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 10:29:08 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 10:29:08 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 10:29:08 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 10:29:08 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 10:29:08 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 10:29:08 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 10:29:08 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 10:29:08 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 10:29:08 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-26 10:29:08 [main] INFO  MVC.Main.TradeController$ - Total trades executed = 5
2025-11-26 11:14:47 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:14:47 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:14:47 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:14:47 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:14:47 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:14:47 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:14:47 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:14:47 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:14:47 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:14:47 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:14:47 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-26 11:14:47 [main] INFO  MVC.Main.TradeController$ - Total trades executed = 5
2025-11-26 11:17:38 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:17:38 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:17:38 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:17:38 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:17:38 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:17:38 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:17:38 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:17:38 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:17:38 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:17:38 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 11:17:38 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-26 11:17:38 [main] INFO  MVC.Main.TradeController$ - Total trades executed = 5
2025-11-26 16:48:35 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:35 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:35 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:35 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:35 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:35 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:35 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:35 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:35 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:35 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:35 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-26 16:48:35 [main] INFO  MVC.Main.TradeController$ - Total trades executed = 5
2025-11-26 16:48:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 16:48:55 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-26 16:48:55 [main] INFO  MVC.Main.TradeController$ - Total trades executed = 5
2025-11-26 17:45:15 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:15 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:15 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:15 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:15 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:15 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:15 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:15 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:15 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:15 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:15 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-26 17:45:16 [main] INFO  MVC.Main.TradeController$ - Total trades executed = 5
2025-11-26 17:45:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 17:45:55 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-26 17:45:55 [main] INFO  MVC.Main.TradeController$ - Total trades executed = 5
2025-11-26 23:49:09 [main] INFO  MVC.Main.TradeController$ - total products inserted 5
2025-11-26 23:49:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 23:53:11 [main] INFO  MVC.Main.TradeController$ - total products inserted 5
2025-11-26 23:53:11 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 23:53:12 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 23:53:12 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 23:53:12 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 23:53:12 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 23:53:12 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 23:53:12 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 23:53:12 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 23:53:12 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 23:53:12 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-26 23:53:12 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-27 00:02:48 [main] INFO  MVC.Main.TradeController$ - total products inserted 5
2025-11-27 00:02:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:02:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:02:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:02:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:02:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:02:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:02:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:02:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:02:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:02:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:02:48 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-27 00:05:41 [main] INFO  MVC.Main.TradeController$ - total products inserted 5
2025-11-27 00:05:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:05:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:05:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:05:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
